station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,state_abbr
EET,2024-04-05T01:53:00Z,56,29,35.38,290,3,0,29.89,1012,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,KEET 050153Z AUTO 29003KT 10SM CLR 13/M02 A2989 RMK AO2 SLP120 T01331017,NA,AL
EET,2024-04-05T02:53:00Z,55,28,35.21,320,6,0,29.92,1012.9,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,KEET 050253Z AUTO 32006KT 10SM CLR 13/M02 A2992 RMK AO2 SLP129 T01281022 51032,NA,AL
EET,2024-04-05T03:53:00Z,53,29,39.47,330,3,0,29.94,1013.6,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,KEET 050353Z AUTO 33003KT 10SM CLR 12/M02 A2994 RMK AO2 SLP136 T01171017,NA,AL
EET,2024-04-05T04:53:00Z,50,31,47.83,0,0,0,29.94,1013.8,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,KEET 050453Z AUTO 00000KT 10SM CLR 10/M01 A2994 RMK AO2 SLP138 T01001006,NA,AL
EET,2024-04-05T05:53:00Z,48,32,53.67,0,0,0,29.95,1013.8,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,KEET 050553Z AUTO 00000KT 10SM CLR 09/00 A2995 RMK AO2 SLP138 T00890000 10167 20089 401890039 51008,NA,AL
EET,2024-04-05T06:53:00Z,46,34,62.71,0,0,0,29.94,1013.7,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,KEET 050653Z AUTO 00000KT 10SM CLR 08/01 A2994 RMK AO2 SLP137 T00780011,NA,AL
EET,2024-04-05T07:53:00Z,46,34,62.71,0,0,0,29.94,1013.6,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,KEET 050753Z AUTO 00000KT 10SM CLR 08/01 A2994 RMK AO2 SLP136 T00780011,NA,AL
EET,2024-04-05T08:53:00Z,43,36,76.12,0,0,0,29.96,1014.3,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,KEET 050853Z AUTO 00000KT 10SM CLR 06/02 A2996 RMK AO2 SLP143 T00610022 53005,NA,AL
EET,2024-04-05T09:53:00Z,42,34,73.06,0,0,0,29.98,1015.1,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,KEET 050953Z AUTO 00000KT 10SM CLR 06/01 A2998 RMK AO2 SLP151 T00560011,NA,AL
EET,2024-04-05T10:53:00Z,40,34,78.94,0,0,0,30.01,1016,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,KEET 051053Z AUTO 00000KT 10SM CLR 04/01 A3001 RMK AO2 SLP160 T00440011,NA,AL
EET,2024-04-05T11:53:00Z,40,34,78.94,0,0,0,30.04,1017,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,KEET 051153Z AUTO 00000KT 10SM CLR 04/01 A3004 RMK AO2 SLP170 T00440011 10089 20039 53025,NA,AL
EET,2024-04-05T12:53:00Z,48,37,65.51,0,0,0,30.06,1017.7,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,KEET 051253Z AUTO 00000KT 10SM CLR 09/03 A3006 RMK AO2 SLP177 T00890028,NA,AL
EET,2024-04-05T13:53:00Z,51,33,49.96,NA,3,0,30.07,1018,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,KEET 051353Z AUTO VRB03KT 10SM CLR 11/01 A3007 RMK AO2 SLP180 T01060006,NA,AL
EET,2024-04-05T14:53:00Z,55,34,44.9,NA,NA,0,30.07,1018.2,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,KEET 051453Z AUTO 10SM CLR 13/01 A3007 RMK AO2 SLP182 T01280011 51013,NA,AL
EET,2024-04-05T15:53:00Z,57,36,45.22,340,6,0,30.08,1018.4,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,KEET 051553Z AUTO 34006KT 10SM CLR 14/02 A3008 RMK AO2 SLP184 T01390022,NA,AL
EET,2024-04-05T16:53:00Z,58,35,41.92,350,5,0,30.07,1018.1,10,16,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,KEET 051653Z AUTO 35005G16KT 10SM CLR 14/02 A3007 RMK AO2 SLP181 T01440017,NA,AL
EET,2024-04-05T17:53:00Z,59,35,40.45,310,11,0,30.06,1017.6,10,17,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,KEET 051753Z AUTO 31011G17KT 10SM CLR 15/02 A3006 RMK AO2 SLP176 T01500017 10156 20039 58006,NA,AL
EET,2024-04-05T18:53:00Z,61,36,39.19,340,7,0,30.04,1017.1,10,15,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,KEET 051853Z AUTO 34007G15KT 310V040 10SM CLR 16/02 A3004 RMK AO2 SLP171 T01610022,NA,AL
EET,2024-04-05T19:53:00Z,63,37,37.99,NA,4,0,30.03,1016.6,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,KEET 051953Z AUTO VRB04KT 10SM CLR 17/03 A3003 RMK AO2 SLP166 T01720028,NA,AL
EET,2024-04-05T20:53:00Z,64,35,33.89,340,10,0,30.03,1016.5,10,19,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,KEET 052053Z AUTO 34010G19KT 10SM CLR 18/02 A3003 RMK AO2 SLP165 T01780017 56010,NA,AL
EET,2024-04-05T21:53:00Z,64,35,33.89,330,7,0,30.02,1016.4,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,KEET 052153Z AUTO 33007KT 10SM CLR 18/02 A3002 RMK AO2 SLP164 T01780017,NA,AL
EET,2024-04-05T22:53:00Z,63,34,33.72,310,9,0,30.02,1016.6,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,KEET 052253Z AUTO 31009KT 10SM CLR 17/01 A3002 RMK AO2 SLP166 T01720011,NA,AL
EET,2024-04-05T23:53:00Z,61,34,36.19,NA,3,0,30.03,1016.7,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,KEET 052353Z AUTO VRB03KT 10SM CLR 16/01 A3003 RMK AO2 SLP167 T01610011 10178 20150 53001,NA,AL
EET,2024-04-06T00:53:00Z,56,37,48.77,0,0,0,30.04,1017.1,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,KEET 060053Z AUTO 00000KT 10SM CLR 13/03 A3004 RMK AO2 SLP171 T01330028,NA,AL
EET,2024-04-06T01:53:00Z,54,37,52.45,350,3,0,30.06,1017.7,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,KEET 060153Z AUTO 35003KT 10SM CLR 12/03 A3006 RMK AO2 SLP177 T01220028,NA,AL
EET,2024-04-06T02:53:00Z,53,36,52.3,NA,3,0,30.08,1018.5,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,KEET 060253Z AUTO VRB03KT 10SM CLR 12/02 A3008 RMK AO2 SLP185 T01170022 53018,NA,AL
EET,2024-04-06T03:53:00Z,50,36,58.44,350,3,0,30.09,1018.8,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,KEET 060353Z AUTO 35003KT 10SM CLR 10/02 A3009 RMK AO2 SLP188 T01000022,NA,AL
EET,2024-04-06T04:53:00Z,50,37,60.79,0,0,0,30.1,1019,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,KEET 060453Z AUTO 00000KT 10SM CLR 10/03 A3010 RMK AO2 SLP190 T01000028,NA,AL
EET,2024-04-06T05:53:00Z,49,36,60.66,NA,4,0,30.12,1019.7,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.27,KEET 060553Z AUTO VRB04KT 10SM CLR 09/02 A3012 RMK AO2 SLP197 T00940022 10161 20094 401780039 53012,NA,AL
EET,2024-04-06T06:53:00Z,47,35,62.84,NA,4,0,30.12,1019.7,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.94,KEET 060653Z AUTO VRB04KT 10SM CLR 08/02 A3012 RMK AO2 SLP197 T00830017,NA,AL
EET,2024-04-06T07:53:00Z,45,34,65.13,NA,3,0,30.13,1020.2,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.55,KEET 060753Z AUTO VRB03KT 10SM CLR 07/01 A3013 RMK AO2 SLP202 T00720011,NA,AL
EET,2024-04-06T08:53:00Z,43,34,70.3,0,0,0,30.14,1020.3,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,KEET 060853Z AUTO 00000KT 10SM CLR 06/01 A3014 RMK AO2 SLP203 T00610011 53005,NA,AL
EET,2024-04-06T09:53:00Z,42,33,70.19,0,0,0,30.13,1020.1,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,KEET 060953Z AUTO 00000KT 10SM CLR 06/01 A3013 RMK AO2 SLP201 T00560006,NA,AL
EET,2024-04-06T10:53:00Z,40,33,75.84,0,0,0,30.15,1020.9,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,KEET 061053Z AUTO 00000KT 10SM CLR 04/01 A3015 RMK AO2 SLP209 T00440006,NA,AL
EET,2024-04-06T11:53:00Z,39,34,82.08,0,0,0,30.17,1021.4,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,KEET 061153Z AUTO 00000KT 10SM CLR 04/01 A3017 RMK AO2 SLP214 T00390011 10094 20039 53010,NA,AL
EET,2024-04-06T12:53:00Z,46,35,65.26,0,0,0,30.17,1021.6,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,KEET 061253Z AUTO 00000KT 10SM CLR 08/02 A3017 RMK AO2 SLP216 T00780017,NA,AL
EET,2024-04-06T13:53:00Z,49,36,60.66,NA,NA,0,30.18,1022,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KEET 061353Z AUTO 10SM CLR 09/02 A3018 RMK AO2 SLP220 T00940022,NA,AL
EET,2024-04-06T14:53:00Z,51,36,56.31,NA,4,0,30.19,1022.3,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,KEET 061453Z AUTO VRB04KT 10SM CLR 11/02 A3019 RMK AO2 SLP223 T01060022 53009,NA,AL
EET,2024-04-06T15:53:00Z,54,36,50.42,0,0,0,30.18,1021.8,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,KEET 061553Z AUTO 00000KT 10SM CLR 12/02 A3018 RMK AO2 SLP218 T01220022,NA,AL
EET,2024-04-06T16:53:00Z,57,35,43.46,NA,4,0,30.15,1020.8,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,KEET 061653Z AUTO VRB04KT 10SM CLR 14/02 A3015 RMK AO2 SLP208 T01390017,NA,AL
EET,2024-04-06T17:53:00Z,61,35,37.66,NA,4,0,30.12,1019.9,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,KEET 061753Z AUTO VRB04KT 10SM CLR 16/02 A3012 RMK AO2 SLP199 T01610017 10161 20039 58023,NA,AL
EET,2024-04-06T18:53:00Z,63,35,35.1,20,3,0,30.1,1019.1,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,KEET 061853Z AUTO 02003KT 10SM CLR 17/02 A3010 RMK AO2 SLP191 T01720017,NA,AL
EET,2024-04-06T19:53:00Z,64,36,35.26,210,4,0,30.08,1018.2,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,KEET 061953Z AUTO 21004KT 10SM CLR 18/02 A3008 RMK AO2 SLP182 T01780022,NA,AL
EET,2024-04-06T20:53:00Z,64,33,31.28,320,5,0,30.07,1017.9,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,KEET 062053Z AUTO 32005KT 10SM CLR 18/01 A3007 RMK AO2 SLP179 T01780006 56019,NA,AL
EET,2024-04-06T21:53:00Z,65,33,30.21,0,0,0,30.05,1017.4,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,KEET 062153Z AUTO 00000KT 10SM CLR 18/01 A3005 RMK AO2 SLP174 T01830006,NA,AL
EET,2024-04-06T22:53:00Z,65,33,30.21,300,4,0,30.05,1017.4,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,KEET 062253Z AUTO 30004KT 10SM CLR 18/01 A3005 RMK AO2 SLP174 T01830006,NA,AL
EET,2024-04-06T23:53:00Z,62,36,37.83,0,0,0,30.04,1017.3,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,KEET 062353Z AUTO 00000KT 10SM CLR 17/02 A3004 RMK AO2 SLP173 T01670022 10189 20150 56007,NA,AL
EET,2024-04-07T00:53:00Z,55,43,63.86,0,0,0,30.05,1017.3,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,KEET 070053Z AUTO 00000KT 10SM CLR 13/06 A3005 RMK AO2 SLP173 T01280061,NA,AL
EET,2024-04-07T01:53:00Z,53,44,71.39,0,0,0,30.04,1017.1,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,KEET 070153Z AUTO 00000KT 10SM CLR 12/07 A3004 RMK AO2 SLP171 T01170067,NA,AL
EET,2024-04-07T02:53:00Z,51,43,73.97,0,0,0,30.04,1017.1,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,KEET 070253Z AUTO 00000KT 10SM CLR 11/06 A3004 RMK AO2 SLP171 T01060061 58001,NA,AL
EET,2024-04-07T03:53:00Z,50,43,76.76,0,0,0,30.04,1017.2,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,KEET 070353Z AUTO 00000KT 10SM CLR 10/06 A3004 RMK AO2 SLP172 T01000061,NA,AL
EET,2024-04-07T04:53:00Z,48,42,79.6,0,0,0,30.05,1017.3,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,KEET 070453Z AUTO 00000KT 10SM CLR 09/06 A3005 RMK AO2 SLP173 T00890056,NA,AL
EET,2024-04-07T05:53:00Z,47,42,82.65,0,0,0,30.05,1017.5,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,KEET 070553Z AUTO 00000KT 10SM CLR 08/06 A3005 RMK AO2 SLP175 T00830056 10167 20083 401890039 53005,NA,AL
EET,2024-04-07T06:53:00Z,46,42,85.83,0,0,0,30.05,1017.3,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,KEET 070653Z AUTO 00000KT 10SM CLR 08/06 A3005 RMK AO2 SLP173 T00780056,NA,AL
EET,2024-04-07T07:53:00Z,45,41,85.77,0,0,0,30.04,1016.9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,KEET 070753Z AUTO 00000KT 10SM 07/05 A3004 RMK AO2 SLP169 T00720050 $,NA,AL
EET,2024-04-07T08:53:00Z,45,41,85.77,0,0,0,30.04,1016.9,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,KEET 070853Z AUTO 00000KT 10SM CLR 07/05 A3004 RMK AO2 SLP169 T00720050 $,NA,AL
EET,2024-04-07T09:53:00Z,45,40,82.51,0,0,0,30.05,1017.3,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,KEET 070953Z AUTO 00000KT 10SM CLR 07/04 A3005 RMK AO2 SLP173 T00720044 $,NA,AL
EET,2024-04-07T10:53:00Z,44,39,82.44,0,0,0,30.06,1017.8,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,KEET 071053Z AUTO 00000KT 10SM CLR 07/04 A3006 RMK AO2 SLP178 T00670039 $,NA,AL
EET,2024-04-07T11:53:00Z,44,39,82.44,0,0,0,30.08,1018.3,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,KEET 071153Z AUTO 00000KT 10SM CLR 07/04 A3008 RMK AO2 SLP183 T00670039 10083 20056 53013 $,NA,AL
EET,2024-04-07T12:53:00Z,50,42,73.87,40,3,0,30.11,1019.2,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,KEET 071253Z AUTO 04003KT 10SM CLR 10/06 A3011 RMK AO2 SLP192 T01000056 $,NA,AL
EET,2024-04-07T13:53:00Z,54,40,58.99,NA,4,0,30.11,1019.5,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,KEET 071353Z AUTO VRB04KT 10SM CLR 12/04 A3011 RMK AO2 SLP195 T01220044 $,NA,AL
EET,2024-04-07T14:53:00Z,60,38,43.94,140,7,0,30.12,1019.8,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,KEET 071453Z AUTO 14007KT 10SM CLR 16/03 A3012 RMK AO2 SLP198 T01560033 51015 $,NA,AL
EET,2024-04-07T15:53:00Z,65,39,38.31,NA,NA,0,30.13,1019.9,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,KEET 071553Z AUTO 10SM CLR 18/04 A3013 RMK AO2 SLP199 T01830039 $,NA,AL
